tag	dbh
000003	14
000003	26
000005	14
000005	12
000007	14
000007	15
000008	20
000008	78
000009	17
000009	29
000011	69
000011	24
000011	13
000011	15
000011	16
000011	12
000011	11
000026	23
000026	14
000026	13
000026	73
000026	36
000026	29
000031	11
000031	201
000038	19
000038	18
000039	10
000039	10
000039	485
000041	12
000041	18
000041	15
000044	12
000044	14
000051	17
000051	10
000051	22
000051	34
000058	16
000058	15
000058	31
000058	41
000060	17
000060	15
000065	12
000065	13
000073	20
000073	12
000075	15
000075	13
000075	11
000075	56
000077	19
000077	19
000077	27
000077	17
000077	22
000082	23
000082	49
000088	11
000088	28
000092	14
000092	22
000095	15
000095	32
000102	10
000102	24
000103	12
000103	11
000110	37
000110	11
000110	39
000113	11
000113	15
000115	23
000115	32
000115	36
000120	16
000120	66
000123	23
000123	13
000123	23
000126	13
000126	18
000140	34
000140	32
000140	12
000140	21
000141	13
000141	15
000141	19
000141	14
000141	65
000144	13
000144	11
000146	13
000146	29
000152	33
000152	35
000153	44
000153	57
000155	39
000155	34
000155	55
000155	75
000155	18
000159	15
000159	50
000163	31
000163	24
000172	13
000172	20
000185	13
000185	23
000191	46
000191	68
000195	65
000195	55
000199	15
000199	26
000199	38
000205	22
000205	34
000211	16
000211	62
000215	15
000215	21
000232	10
000232	29
000234	10
000234	25
000234	32
000235	25
000235	10
000235	30
000237	16
000237	17
000240	11
000240	33
000243	55
000243	182
000245	25
000245	15
000245	16
000245	13
000245	19
000247	16
000247	25
000247	21
000254	12
000254	39
000276	27
000276	28
000285	13
000285	10
000285	32
000285	15
000288	21
000288	28
000288	27
000288	19
000293	10
000293	22
000308	11
000308	17
000309	10
000309	15
000309	14
000319	20
000319	22
000319	20
000326	40
000326	15
000326	13
000326	78
000326	79
000326	134
000332	23
000332	29
000336	35
000336	27
000337	24
000337	14
000337	11
000344	109
000344	37
000359	50
000359	60
000359	26
000359	10
000360	16
000360	15
000366	15
000366	11
000376	29
000376	40
000380	17
000380	57
000381	75
000381	14
000391	43
000391	28
000410	16
000410	18
000411	13
000411	21
000416	40
000416	24
000422	14
000422	12
000422	15
000462	16
000462	18
000462	29
000488	10
000488	15
000498	11
000498	14
000498	30
000504	26
000504	12
000506	14
000506	13
000515	15
000515	14
000539	118
000539	105
000545	23
000545	31
000546	13
000546	11
000547	13
000547	10
000548	12
000548	16
000555	16
000555	17
000555	13
000564	13
000564	12
000566	234
000566	236
000571	43
000571	32
000588	12
000588	24
000589	13
000589	15
000590	11
000590	23
000599	15
000599	25
000604	36
000604	16
000614	13
000614	14
000618	48
000618	42
000619	23
000619	11
000623	11
000623	11
000629	24
000629	10
000634	13
000634	12
000646	14
000646	16
000649	25
000649	10
000649	28
000654	48
000654	51
000660	24
000660	24
000660	16
000660	20
000660	55
000665	40
000665	18
000669	188
000669	117
000683	24
000683	42
000686	20
000686	23
000686	12
000721	16
000721	10
000729	43
000729	39
000730	12
000730	15
000734	27
000734	15
000735	11
000735	13
000735	25
000735	29
000740	24
000740	31
000740	12
000740	18
000740	16
000740	10
000763	25
000763	27
000769	33
000769	36
000769	29
000769	31
000769	28
000769	34
000769	36
000769	37
000769	31
000773	33
000773	36
000774	22
000774	14
000774	10
000775	28
000775	34
000779	15
000779	19
000780	47
000780	16
000782	20
000782	10
000784	17
000784	11
000787	12
000787	15
000793	14
000793	24
000818	20
000818	18
000825	10
000825	13
000825	12
000825	62
000825	12
000835	19
000835	17
000851	20
000851	24
000895	398
000895	381
000901	40
000901	22
000901	17
000909	31
000909	23
000917	17
000917	20
000925	14
000925	18
000927	165
000927	329
000930	40
000930	33
000938	20
000938	22
000938	19
000944	43
000944	33
000944	12
000950	66
000950	26
000954	12
000954	17
000955	15
000955	12
000956	12
000956	26
000970	15
000970	15
000973	18
000973	28
000975	15
000975	11
000975	14
000978	12
000978	12
000983	29
000983	15
000983	29
000989	46
000989	12
000994	20
000994	36
001008	75
001008	59
001009	14
001009	27
001023	11
001023	17
001023	21
001031	24
001031	19
001033	22
001033	11
001034	17
001034	17
001035	16
001035	10
001054	18
001054	59
001086	33
001086	33
001099	27
001099	36
001099	32
001100	37
001100	36
001100	29
001100	30
001100	31
001100	32
001100	32
001102	27
001102	39
001103	11
001103	29
001106	20
001106	17
001119	29
001119	13
001119	21
001119	21
001119	41
001123	28
001123	39
001130	38
001130	23
001130	83
001135	19
001135	11
001137	22
001137	22
001138	12
001138	24
001138	28
001145	18
001145	36
001151	10
001151	15
001159	12
001159	18
001165	101
001165	37
001165	108
001165	89
001169	11
001169	29
001169	34
001169	32
001172	31
001172	22
001172	13
001174	27
001174	11
001178	13
001178	12
001184	12
001184	32
001184	15
001188	11
001188	143
001191	10
001191	15
001191	14
001196	42
001196	49
001197	28
001197	39
001200	12
001200	14
001202	41
001202	10
001203	11
001203	19
001204	12
001204	13
001204	10
001205	24
001205	19
001205	10
001210	38
001210	31
001234	17
001234	14
001235	38
001235	31
001236	12
001236	15
001237	28
001237	21
001246	20
001246	44
001246	65
001248	16
001248	14
001248	14
001248	16
001249	12
001249	13
001252	49
001252	55
001256	21
001256	37
001256	27
001258	12
001258	25
001259	21
001259	146
001263	24
001263	37
001263	41
001263	33
001263	36
001263	40
001263	27
001263	42
001263	38
001263	30
001268	14
001268	14
001270	20
001270	33
001272	15
001272	15
001273	12
001273	22
001273	12
001273	21
001274	21
001274	11
001274	10
001274	31
001275	25
001275	23
001275	30
001275	22
001275	26
001275	13
001279	48
001279	33
001281	20
001281	13
001282	23
001282	24
001283	14
001283	20
001286	12
001286	12
001286	13
