tag	dbh
000003	39
000003	10
000005	12
000005	15
000006	25
000006	10
000007	19
000007	15
000008	78
000008	29
000009	29
000009	20
000011	65
000011	22
000011	13
000011	39
000015	16
000015	10
000019	29
000019	10
000026	74
000026	22
000026	26
000026	15
000026	12
000031	205
000031	14
000031	12
000037	15
000037	11
000038	23
000038	23
000040	12
000040	10
000041	18
000041	20
000041	16
000043	36
000043	17
000044	16
000044	11
000048	26
000048	30
000051	37
000051	23
000051	22
000051	13
000057	40
000057	31
000058	44
000058	28
000058	27
000058	45
000058	10
000058	10
000060	19
000060	18
000061	18
000061	18
000065	21
000065	18
000068	13
000068	11
000075	27
000075	27
000077	29
000077	28
000077	33
000077	36
000082	44
000082	20
000082	11
000084	16
000084	16
000088	16
000088	34
000092	32
000092	16
000094	13
000094	11
000095	34
000095	21
000102	28
000102	13
000103	18
000103	16
000106	39
000106	12
000110	48
000110	45
000115	41
000115	35
000115	29
000115	13
000120	65
000120	15
000123	35
000123	27
000123	12
000126	12
000126	22
000139	247
000139	11
000140	40
000140	22
000140	11
000140	36
000141	77
000141	12
000141	20
000141	19
000141	15
000144	18
000144	11
000146	20
000146	15
000152	55
000152	41
000155	57
000155	56
000155	43
000159	17
000159	51
000163	30
000163	30
000168	32
000168	11
000168	11
000170	44
000170	15
000172	32
000172	17
000176	63
000176	17
000176	15
000181	17
000181	16
000181	10
000183	133
000183	28
000185	30
000185	14
000189	37
000189	15
000191	65
000191	51
000193	21
000193	11
000199	46
000199	21
000199	17
000200	101
000200	16
000204	14
000204	10
000205	38
000205	23
000215	28
000215	14
000215	10
000227	74
000227	26
000232	33
000232	20
000235	33
000235	30
000235	15
000235	15
000235	21
000236	42
000236	28
000236	20
000236	16
000236	12
000236	15
000236	13
000236	12
000237	12
000237	10
000237	10
000240	33
000240	11
000240	13
000247	13
000247	25
000250	15
000250	11
000251	10
000251	11
000251	12
000256	46
000256	17
000272	10
000272	18
000276	20
000276	12
000276	27
000276	38
000285	26
000285	25
000285	18
000285	28
000288	19
000288	20
000288	28
000288	37
000290	39
000290	50
000291	34
000291	18
000294	21
000294	15
000298	23
000298	18
000304	17
000304	13
000304	12
000306	303
000306	18
000306	16
000306	10
000308	20
000308	12
000309	16
000309	10
000309	10
000310	37
000310	24
000311	18
000311	14
000326	63
000326	15
000326	11
000326	22
000326	10
000326	70
000326	141
000326	84
000328	25
000328	11
000332	33
000332	40
000336	40
000336	30
000337	30
000337	14
000337	11
000337	10
000344	40
000344	115
000346	16
000346	12
000359	27
000359	55
000359	65
000359	26
000360	16
000360	22
000366	28
000366	17
000376	35
000376	45
000380	29
000380	13
000380	59
000388	15
000388	17
000391	47
000391	48
000392	17
000392	12
000398	22
000398	12
000410	19
000410	14
000411	14
000411	11
000411	22
000416	28
000416	42
000422	28
000422	31
000450	14
000450	30
000462	22
000462	17
000462	30
000464	13
000464	18
000464	13
000465	10
000465	13
000487	19
000487	13
000487	10
000488	14
000488	11
000498	30
000498	24
000498	22
000498	16
000504	12
000504	14
000504	27
000506	12
000506	16
000507	40
000507	10
000515	18
000515	17
000539	114
000539	121
000545	31
000545	36
000546	11
000546	13
000547	12
000547	11
000554	17
000554	11
000554	34
000555	17
000555	17
000555	24
000564	16
000564	12
000577	31
000577	12
000589	25
000589	21
000590	22
000590	14
000594	31
000594	13
000597	12
000597	12
000604	38
000604	18
000607	27
000607	65
000614	19
000614	15
000618	54
000618	43
000619	26
000619	12
000622	37
000622	10
000623	11
000623	11
000625	31
000625	10
000629	11
000629	25
000634	18
000634	16
000634	10
000646	16
000646	16
000649	36
000649	26
000649	11
000654	52
000654	52
000657	15
000657	12
000660	25
000660	21
000660	18
000660	21
000660	10
000661	64
000661	10
000664	26
000664	18
000669	121
000669	194
000677	34
000677	23
000683	42
000683	27
000693	13
000693	10
000722	23
000722	10
000725	17
000725	11
000729	38
000729	41
000730	19
000730	12
000734	31
000734	20
000735	36
000735	26
000735	13
000735	11
000769	35
000769	32
000769	31
000769	35
000769	33
000769	31
000769	37
000769	33
000773	37
000773	33
000774	23
000774	17
000774	10
000775	38
000775	30
000779	27
000779	23
000780	53
000780	18
000783	26
000783	17
000784	18
000784	10
000793	32
000793	13
000818	19
000818	18
000825	62
000825	20
000825	12
000825	10
000825	10
000825	15
000835	17
000835	17
000851	26
000851	25
000856	15
000856	10
000901	44
000901	25
000901	17
000917	20
000917	18
000925	14
000925	13
000927	330
000927	168
000930	42
000930	35
000933	18
000933	10
000944	44
000944	12
000944	12
000945	40
000945	10
000950	69
000950	15
000954	17
000954	14
000956	34
000956	13
000970	21
000970	15
000975	23
000975	19
000975	15
000977	14
000977	11
000983	28
000983	15
000983	21
000989	50
000989	24
000994	41
000994	21
001008	76
001008	60
001009	27
001009	13
001009	11
001011	60
001011	15
001021	14
001021	10
001022	20
001022	10
001023	19
001023	14
001031	31
001031	20
001033	22
001033	11
001034	21
001034	18
001035	19
001035	13
001054	63
001054	19
001061	11
001061	10
001086	34
001086	34
001106	25
001106	18
001130	22
001130	37
001130	87
001135	21
001135	10
001137	24
001137	22
001138	30
001138	26
001150	18
001150	10
001151	16
001151	11
001165	115
001165	108
001165	91
001165	25
001165	20
001165	10
001165	43
001169	43
001169	37
001169	30
001169	13
001169	11
001172	30
001172	23
001172	14
001174	28
001174	12
001178	14
001178	13
001188	145
001188	18
001191	16
001191	14
001196	52
001196	52
001197	40
001197	33
001200	20
001200	13
001203	24
001203	11
001204	15
001204	15
001204	12
001205	27
001205	18
001205	11
001210	43
001210	31
001218	11
001218	10
001234	25
001234	15
001235	39
001235	31
001235	23
001235	22
001236	14
001236	13
001236	10
001237	34
001237	22
001241	12
001241	10
001245	14
001245	10
001248	31
001248	25
001248	21
001249	16
001249	12
001249	11
001252	61
001252	52
